student_id,gender,grade_level,student_category,subject,score,pass_fail
1001,Male,9,Beginner,Mathematics,37,Fail
1001,Male,9,Beginner,Science,37,Fail
1001,Male,9,Beginner,English,41,Fail
1001,Male,9,Beginner,History,36,Fail
1001,Male,9,Beginner,Computer Science,29,Fail
1002,Male,12,Beginner,Mathematics,22,Fail
1002,Male,12,Beginner,Science,23,Fail
1002,Male,12,Beginner,English,32,Fail
1002,Male,12,Beginner,History,41,Fail
1002,Male,12,Beginner,Computer Science,37,Fail
1003,Male,10,Beginner,Mathematics,65,Pass
1003,Male,10,Beginner,Science,63,Pass
1003,Male,10,Beginner,English,71,Pass
1003,Male,10,Beginner,History,62,Pass
1003,Male,10,Beginner,Computer Science,49,Fail
1004,Female,11,Advanced,Mathematics,55,Pass
1004,Female,11,Advanced,Science,67,Pass
1004,Female,11,Advanced,English,89,Pass
1004,Female,11,Advanced,History,84,Pass
1004,Female,11,Advanced,Computer Science,75,Pass
1005,Male,11,Advanced,Mathematics,61,Pass
1005,Male,11,Advanced,Science,62,Pass
1005,Male,11,Advanced,English,86,Pass
1005,Male,11,Advanced,History,69,Pass
1005,Male,11,Advanced,Computer Science,80,Pass
1006,Female,9,Intermediate,Mathematics,64,Pass
1006,Female,9,Intermediate,Science,71,Pass
1006,Female,9,Intermediate,English,49,Fail
1006,Female,9,Intermediate,History,67,Pass
1006,Female,9,Intermediate,Computer Science,43,Fail
1007,Female,11,Beginner,Mathematics,56,Pass
1007,Female,11,Beginner,Science,34,Fail
1007,Female,11,Beginner,English,72,Pass
1007,Female,11,Beginner,History,32,Fail
1007,Female,11,Beginner,Computer Science,25,Fail
1008,Male,11,Beginner,Mathematics,25,Fail
1008,Male,11,Beginner,Science,36,Fail
1008,Male,11,Beginner,English,33,Fail
1008,Male,11,Beginner,History,52,Pass
1008,Male,11,Beginner,Computer Science,40,Fail
1009,Female,10,Intermediate,Mathematics,58,Pass
1009,Female,10,Intermediate,Science,59,Pass
1009,Female,10,Intermediate,English,55,Pass
1009,Female,10,Intermediate,History,85,Pass
1009,Female,10,Intermediate,Computer Science,55,Pass
1010,Male,10,Beginner,Mathematics,54,Pass
1010,Male,10,Beginner,Science,37,Fail
1010,Male,10,Beginner,English,37,Fail
1010,Male,10,Beginner,History,57,Pass
1010,Male,10,Beginner,Computer Science,47,Fail
1011,Male,11,Intermediate,Mathematics,38,Fail
1011,Male,11,Intermediate,Science,51,Pass
1011,Male,11,Intermediate,English,44,Fail
1011,Male,11,Intermediate,History,63,Pass
1011,Male,11,Intermediate,Computer Science,63,Pass
1012,Male,10,Intermediate,Mathematics,71,Pass
1012,Male,10,Intermediate,Science,82,Pass
1012,Male,10,Intermediate,English,62,Pass
1012,Male,10,Intermediate,History,56,Pass
1012,Male,10,Intermediate,Computer Science,79,Pass
1013,Female,12,Intermediate,Mathematics,44,Fail
1013,Female,12,Intermediate,Science,53,Pass
1013,Female,12,Intermediate,English,50,Pass
1013,Female,12,Intermediate,History,58,Pass
1013,Female,12,Intermediate,Computer Science,73,Pass
1014,Female,12,Beginner,Mathematics,57,Pass
1014,Female,12,Beginner,Science,47,Fail
1014,Female,12,Beginner,English,50,Pass
1014,Female,12,Beginner,History,42,Fail
1014,Female,12,Beginner,Computer Science,31,Fail
1015,Female,9,Beginner,Mathematics,23,Fail
1015,Female,9,Beginner,Science,29,Fail
1015,Female,9,Beginner,English,36,Fail
1015,Female,9,Beginner,History,68,Pass
1015,Female,9,Beginner,Computer Science,33,Fail
1016,Female,9,Beginner,Mathematics,44,Fail
1016,Female,9,Beginner,Science,46,Fail
1016,Female,9,Beginner,English,65,Pass
1016,Female,9,Beginner,History,57,Pass
1016,Female,9,Beginner,Computer Science,56,Pass
1017,Male,9,Intermediate,Mathematics,78,Pass
1017,Male,9,Intermediate,Science,71,Pass
1017,Male,9,Intermediate,English,59,Pass
1017,Male,9,Intermediate,History,84,Pass
1017,Male,9,Intermediate,Computer Science,59,Pass
1018,Female,12,Advanced,Mathematics,65,Pass
1018,Female,12,Advanced,Science,86,Pass
1018,Female,12,Advanced,English,62,Pass
1018,Female,12,Advanced,History,79,Pass
1018,Female,12,Advanced,Computer Science,90,Pass
1019,Male,11,Advanced,Mathematics,95,Pass
1019,Male,11,Advanced,Science,89,Pass
1019,Male,11,Advanced,English,100,Pass
1019,Male,11,Advanced,History,75,Pass
1019,Male,11,Advanced,Computer Science,67,Pass
1020,Male,9,Intermediate,Mathematics,73,Pass
1020,Male,9,Intermediate,Science,57,Pass
1020,Male,9,Intermediate,English,73,Pass
1020,Male,9,Intermediate,History,44,Fail
1020,Male,9,Intermediate,Computer Science,45,Fail
1021,Female,10,Intermediate,Mathematics,38,Fail
1021,Female,10,Intermediate,Science,52,Pass
1021,Female,10,Intermediate,English,78,Pass
1021,Female,10,Intermediate,History,48,Fail
1021,Female,10,Intermediate,Computer Science,43,Fail
1022,Female,9,Beginner,Mathematics,54,Pass
1022,Female,9,Beginner,Science,30,Fail
1022,Female,9,Beginner,English,35,Fail
1022,Female,9,Beginner,History,70,Pass
1022,Female,9,Beginner,Computer Science,53,Pass
1023,Male,11,Beginner,Mathematics,53,Pass
1023,Male,11,Beginner,Science,60,Pass
1023,Male,11,Beginner,English,54,Pass
1023,Male,11,Beginner,History,41,Fail
1023,Male,11,Beginner,Computer Science,57,Pass
1024,Male,11,Beginner,Mathematics,45,Fail
1024,Male,11,Beginner,Science,64,Pass
1024,Male,11,Beginner,English,68,Pass
1024,Male,11,Beginner,History,51,Pass
1024,Male,11,Beginner,Computer Science,51,Pass
1025,Female,9,Beginner,Mathematics,35,Fail
1025,Female,9,Beginner,Science,36,Fail
1025,Female,9,Beginner,English,31,Fail
1025,Female,9,Beginner,History,49,Fail
1025,Female,9,Beginner,Computer Science,24,Fail
1026,Male,10,Beginner,Mathematics,20,Fail
1026,Male,10,Beginner,Science,26,Fail
1026,Male,10,Beginner,English,72,Pass
1026,Male,10,Beginner,History,68,Pass
1026,Male,10,Beginner,Computer Science,26,Fail
1027,Male,9,Advanced,Mathematics,76,Pass
1027,Male,9,Advanced,Science,61,Pass
1027,Male,9,Advanced,English,94,Pass
1027,Male,9,Advanced,History,78,Pass
1027,Male,9,Advanced,Computer Science,75,Pass
1028,Female,10,Beginner,Mathematics,54,Pass
1028,Female,10,Beginner,Science,30,Fail
1028,Female,10,Beginner,English,63,Pass
1028,Female,10,Beginner,History,64,Pass
1028,Female,10,Beginner,Computer Science,53,Pass
1029,Female,12,Advanced,Mathematics,67,Pass
1029,Female,12,Advanced,Science,63,Pass
1029,Female,12,Advanced,English,68,Pass
1029,Female,12,Advanced,History,90,Pass
1029,Female,12,Advanced,Computer Science,80,Pass
1030,Female,12,Intermediate,Mathematics,38,Fail
1030,Female,12,Intermediate,Science,80,Pass
1030,Female,12,Intermediate,English,83,Pass
1030,Female,12,Intermediate,History,84,Pass
1030,Female,12,Intermediate,Computer Science,44,Fail
1031,Female,11,Advanced,Mathematics,61,Pass
1031,Female,11,Advanced,Science,72,Pass
1031,Female,11,Advanced,English,74,Pass
1031,Female,11,Advanced,History,75,Pass
1031,Female,11,Advanced,Computer Science,92,Pass
1032,Male,12,Intermediate,Mathematics,46,Fail
1032,Male,12,Intermediate,Science,54,Pass
1032,Male,12,Intermediate,English,71,Pass
1032,Male,12,Intermediate,History,58,Pass
1032,Male,12,Intermediate,Computer Science,42,Fail
1033,Male,9,Intermediate,Mathematics,76,Pass
1033,Male,9,Intermediate,Science,71,Pass
1033,Male,9,Intermediate,English,42,Fail
1033,Male,9,Intermediate,History,48,Fail
1033,Male,9,Intermediate,Computer Science,53,Pass
1034,Female,12,Advanced,Mathematics,85,Pass
1034,Female,12,Advanced,Science,70,Pass
1034,Female,12,Advanced,English,87,Pass
